Name,Score,Date
,0,2020-03-16
,0,2020-03-16
Name,Score,Date
,0,2020-03-16
,0,2020-03-16
Name,Score,Date
dsdasdasd,0,2020-03-17
dsad,0,2020-03-17
Name,Score,Date
,50,2020-03-17
,0,2020-03-17
Name,Score,Date
,0,2020-03-18
asd,10,2020-03-18
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,20,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,10,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,10,2020-03-19
Name,Score,Date
gsaagg,0,2020-03-19
DEFAULT_PLAYER2s,10,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
dasfas,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,50,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,50,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,50,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
DEFAULT_PLAYER1,0,2020-03-19
DEFAULT_PLAYER2,0,2020-03-19
Name,Score,Date
dwdw,50,2020-03-19
dwdafwd,0,2020-03-19
